Ticker;Company;Sector;Industry;Price;Market Cap;Currency;Exchange;Avg Volume;Avg Dollar Volume;Liquidity
005930.KS;SamsungElec;TECHNOLOGY;Consumer Electronics;340500.0;2235914877140992.0;KRW;KSC;29365523.0;9998960581500.0;HOCH
000660.KS;SK hynix;SEMICONDUCTOR;Semiconductors;2580000.0;1831425728839680.0;KRW;KSC;5053584.0;13038246720000.0;HOCH
373220.KS;LG Energy Solution;INDUSTRIALS;Electrical Equipment & Parts;365500.0;85527000776704.0;KRW;KSC;501276.0;183216378000.0;HOCH
285A.T;KIOXIA HOLDINGS CORPORATION;SEMICONDUCTOR;Semiconductors;92500.0;50512967761920.0;JPY;JPX;35993404.0;3329389870000.0;HOCH
7203.T;TOYOTA MOTOR CORP;CONSUMER CYCLICAL;Auto Manufacturers;2686.0;31805067493376.0;JPY;JPX;25171693.0;67611167398.0;HOCH
8035.T;TOKYO ELECTRON;SEMICONDUCTOR;Semiconductor Equipment & Materials;69900.0;31794365726720.0;JPY;JPX;3627500.0;253562250000.0;HOCH
6857.T;ADVANTEST CORP;SEMICONDUCTOR;Semiconductor Equipment & Materials;31200.0;22614187704320.0;JPY;JPX;9762414.0;304587316800.0;HOCH
6981.T;MURATA MANUFACTURING CO;TECHNOLOGY;Electronic Components;11030.0;20077806092288.0;JPY;JPX;22486449.0;248025532470.0;HOCH
6758.T;SONY GROUP CORPORATION;TECHNOLOGY;Consumer Electronics;3250.0;19142067355648.0;JPY;JPX;21115777.0;68626275250.0;HOCH
6861.T;KEYENCE CORP;TECHNOLOGY;Scientific & Technical Instruments;76750.0;18613803155456.0;JPY;JPX;802801.0;61614976750.0;HOCH
8001.T;ITOCHU CORP;INDUSTRIALS;Conglomerates;1819.0;12714650894336.0;JPY;JPX;14934419.0;27165708161.0;HOCH
6752.T;PANASONIC HOLDINGS CORP;TECHNOLOGY;Consumer Electronics;4454.0;10399401377792.0;JPY;JPX;11184063.0;49813816602.0;HOCH
6146.T;DISCO CORPORATION;SEMICONDUCTOR;Semiconductor Equipment & Materials;79740.0;8649216884736.0;JPY;JPX;2166624.0;172766597760.0;HOCH
7974.T;NINTENDO CO LTD;COMMUNICATION;Electronic Gaming & Multimedia;6858.0;7906101035008.0;JPY;JPX;10285180.0;70535764440.0;HOCH
6762.T;TDK CORP;TECHNOLOGY;Electronic Components;3816.0;7243355914240.0;JPY;JPX;15107714.0;57651036624.0;HOCH
