Ticker;Company;Currency;Price;Raw Price;EMA20;EMA50;EMA100;EMA200;Distance EMA20 %;Distance EMA50 %;1D %;1W %;1M %;3M %;6M %;RSI;52W High;52W High Raw;52W Low Raw;Distance 52W High %;Distance 52W Low %;Volatility 30D %;Beta;Volume Signal;RVOL;Volume Trend 10D;Dividend Yield %;Dividend Rate;Ex Dividend Date;Last Dividend Date;Next Earnings Date;Stop Loss Idea;Market Cap;Market Cap Class;Forward PE;Trailing PE;PEG Ratio;Revenue Growth;Revenue Growth Raw;Earnings Growth;Earnings Growth Raw;Profit Margin;Profit Margin Raw;Debt To Equity;Free Cashflow;Free Cashflow Raw;Operating Cashflow;Operating Cashflow Raw;Fundamental Score;Fundamental Rating;Fundamental Data Points;Fundamental Data Quality;Fundamental Pros;Fundamental Cons;Risk Level;Turnaround Candidate;Early Signal Score;Early Signal Label;Early Signal Details;Score;Rating;Reason;Sector;Industry;Liquidity;Exchange;Avg Dollar Volume;Relative Strength 1M;Relative Strength 3M;RS Percentile;RS Rating;Sector Avg 1M %;Market RS 1M;Market RS 3M;Smart Money Score;Smart Money Signal;Smart Money Details;Insider Buys 6M;Insider Sells 6M;Insider Net Value;Institutional %;Short % Float;Short Ratio;Swing Score;Swing Tier
AWK;American Water Works Company, I;USD;135.45 USD;135.45;134.04 USD;131.96 USD;130.93 USD;130.82 USD;1.05;2.65;0.1;3.16;3.64;8.54;6.36;55.55;143.26 USD;143.26;121.13;-5.45;11.82;1.63;0.577;NORMAL;1.08;1.58;2.64%;3.58 USD;11.08.2026;12.05.2026;28.10.2026;129.32 USD;26917840896.0;Large Cap;20.63;23.47;2.62;6.2%;0.06;8.6%;0.09;21.35%;0.21;137.75;-1.79 Mrd.;-1785374976.0;2.33 Mrd.;2334000128.0;5;SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Dividende vorhanden;Free Cashflow negativ;LOW RISK;NO;4;MÖGLICHES SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben | Mögliche Bodenbildung nahe 52W-Tief;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: MÖGLICHES SIGNAL, fundamental solide;UTILITIES;Utilities - Regulated Water;HOCH;NYQ;306759439.0;8.16;14.46;95.0;🟢 Top-Performer im Sektor;-4.52;1.25;2.93;1;🔵 Leicht positiv;hohe institutionelle Beteiligung;0;0;;102.04;7.12;4.65;64.5;🔵 Solide
QMCO;Quantum Corporation;USD;11.78 USD;11.78;11.27 USD;10.94 USD;10.04 USD;9.21 USD;4.54;7.64;-2.16;11.55;17.56;17.45;90.0;54.84;15.95 USD;15.95;4.31;-26.14;173.32;4.74;;NORMAL;1.48;14.11;0.0%;-;-;-;09.11.2026;10.72 USD;463831584.0;Small Cap;36.81;-;0.77;25.7%;0.26;-;-;-80.76%;-0.81;-;16.97 Mio.;16969876.0;-20.02 Mio.;-20018000.0;3;MIXED;5;OK;PEG Ratio attraktiv | Umsatzwachstum positiv | Free Cashflow positiv;Negative Gewinnmarge;LOW RISK;NO;5;EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben | RSI erholt sich aus überverkaufter Zone;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: EARLY SIGNAL;TECHNOLOGY;Computer Hardware;HOCH;NGM;13397783.0;16.31;14.87;85.4;🟢 Top-Performer im Sektor;1.25;15.17;11.84;0;⚪ Keine Daten;-;0;0;;18.24;5.83;2.09;62.6;🔵 Solide
AES;The AES Corporation;USD;14.73 USD;14.73;14.66 USD;14.56 USD;14.44 USD;14.27 USD;0.5;1.16;0.0;0.14;0.86;3.95;3.01;67.47;16.87 USD;16.87;11.92;-12.67;23.61;0.22;0.952;HIGH;1.73;13.46;4.75%;0.7 USD;31.07.2026;31.07.2026;04.11.2026;14.27 USD;10504812544.0;Large Cap;6.2;5.52;0.81;19.9%;0.2;-;-;14.34%;0.14;256.89;-3.09 Mrd.;-3089125120.0;5.03 Mrd.;5032000000.0;5;SOLID;7;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Solide Gewinnmarge | Dividende vorhanden;Free Cashflow negativ | Verschuldung hoch;LOW RISK;NO;4;MÖGLICHES SIGNAL;Leichte Vol.-Erhöhung in Seitwärtsphase | EMA50 dreht nach oben | Bodenbildung: nahe 52W-Tief mit positiver Kursdrehung;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, hohes Volumen, Early: MÖGLICHES SIGNAL, fundamental solide;UTILITIES;Utilities - Diversified;HOCH;NYQ;125281891.0;5.38;9.87;87.5;🟢 Top-Performer im Sektor;-4.52;-1.53;-1.66;1;🔵 Leicht positiv;hohe institutionelle Beteiligung;0;0;;87.63;3.23;2.64;62.2;🔵 Solide
SWKS;Skyworks Solutions, Inc.;USD;68.79 USD;68.79;64.65 USD;65.18 USD;64.99 USD;64.7 USD;6.41;5.55;-2.59;12.24;13.93;6.8;25.94;58.77;83.42 USD;83.42;52.05;-17.54;32.17;3.35;1.51;NORMAL;0.93;4.25;4.13%;2.84 USD;26.05.2026;26.05.2026;28.07.2026;63.87 USD;10346426368.0;Large Cap;13.83;35.64;10.0;-3.1%;-0.03;-68.6%;-0.69;7.23%;0.07;11.87;448.81 Mio.;448812512.0;716.2 Mio.;716200000.0;3;MIXED;8;OK;Forward KGV im gesunden Bereich | Gewinnmarge positiv | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;PEG Ratio hoch | Umsatzwachstum negativ | Gewinnwachstum negativ;LOW RISK;NO;4;MÖGLICHES SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben | Mögliche Bodenbildung nahe 52W-Tief;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: MÖGLICHES SIGNAL;SEMICONDUCTOR;Semiconductors;HOCH;NMS;384694523.0;22.78;10.22;95.8;🟢 Top-Performer im Sektor;-8.85;11.54;1.19;0;⚪ Nicht geprüft;-;0;0;;;;;60.2;🔵 Solide
CEG;Constellation Energy Corporatio;USD;270.43 USD;270.43;264.32 USD;266.1 USD;275.98 USD;289.57 USD;2.31;1.63;0.2;-1.2;7.58;-16.09;-3.37;55.22;402.32 USD;402.32;236.5;-32.78;14.35;2.47;1.118;LOW;0.68;2.36;0.63%;1.71 USD;18.08.2026;15.05.2026;09.11.2026;260.78 USD;95815344128.0;Large Cap;20.33;26.46;3.74;23.0%;0.23;-46.8%;-0.47;11.08%;0.11;76.42;-6.63 Mrd.;-6625124864.0;4.21 Mrd.;4206000128.0;5;SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | Umsatzwachstum positiv | Solide Gewinnmarge | Verschuldung moderat | Dividende vorhanden;PEG Ratio hoch | Gewinnwachstum negativ | Free Cashflow negativ;LOW RISK;NO;5;EARLY SIGNAL;Leichte Vol.-Erhöhung in Seitwärtsphase | EMA50 dreht nach oben | Bodenbildung: nahe 52W-Tief mit positiver Kursdrehung | Momentum-Divergenz: 1M dreht positiv nach langem Abschwung;4;PRE-BREAKOUT;über EMA20, über EMA50, 1M positiv, Early: EARLY SIGNAL, fundamental solide;UTILITIES;Utilities - Independent Power Producers;HOCH;NMS;988277511.0;12.1;-10.17;100.0;🟢 Top-Performer im Sektor;-4.52;5.19;-21.7;1;🔵 Leicht positiv;hohe institutionelle Beteiligung;0;0;;85.41;3.33;2.87;59.0;🔵 Solide
DFEN.DE;VanEck ETFs-VanEck Defense ETFR;EUR;57.68 EUR;57.68;54.17 EUR;53.51 EUR;54.25 EUR;54.85 EUR;6.48;7.79;-1.1;3.59;13.45;9.55;-5.01;68.87;64.09 EUR;64.09;47.81;-10.0;20.66;1.9;;LOW;0.41;-4.14;0.0%;-;-;-;-;52.44 EUR;;UNKNOWN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;UNKNOWN;0;LOW;-;Fundamentaldaten unvollständig;LOW RISK;NO;3;MÖGLICHES SIGNAL;EMA50 dreht nach oben | Bodenbildung: nahe 52W-Tief mit positiver Kursdrehung;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: MÖGLICHES SIGNAL, Fundamentaldaten unvollständig;OTHER;-;HOCH;GER;9685604.0;8.47;3.28;100.0;🟢 Top-Performer im Sektor;4.98;11.06;3.94;0;⚪ Nicht geprüft;-;0;0;;;;;58.5;🔵 Solide
MCK;McKesson Corporation;USD;879.87 USD;879.87;846.17 USD;822.08 USD;819.77 USD;821.5 USD;3.98;7.03;1.18;6.37;9.17;18.45;6.06;61.71;994.59 USD;994.59;656.34;-11.53;34.06;2.28;0.307;NORMAL;0.78;0.55;0.43%;3.76 USD;01.09.2026;01.06.2026;04.11.2026;805.64 USD;102584360960.0;Large Cap;17.41;23.31;1.64;7.7%;0.08;-17.6%;-0.18;1.12%;0.01;-;6.8 Mrd.;6801249792.0;6.85 Mrd.;6853000192.0;5;SOLID;7;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Dividende vorhanden;Gewinnwachstum negativ;LOW RISK;NO;5;EARLY SIGNAL;Leichte Vol.-Erhöhung in Seitwärtsphase | EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben | Mögliche Bodenbildung nahe 52W-Tief;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: EARLY SIGNAL, fundamental solide;HEALTHCARE;Medical Distribution;HOCH;NYQ;1000742141.0;2.17;0.13;64.0;🔵 Überdurchschnittlich;7.0;6.78;12.84;1;🔵 Leicht positiv;hohe institutionelle Beteiligung;0;0;;94.92;3.31;3.29;58.2;🔵 Solide
CL;Colgate-Palmolive Company;USD;93.15 USD;93.15;92.1 USD;90.92 USD;89.3 USD;87.39 USD;1.15;2.45;-0.13;3.64;1.57;6.27;4.4;54.84;97.97 USD;97.97;73.64;-4.92;26.49;1.54;0.327;NORMAL;0.82;-0.86;2.28%;2.12 USD;20.07.2026;20.07.2026;30.10.2026;89.1 USD;74256646144.0;Large Cap;22.72;36.67;1.8;4.9%;0.05;-5.5%;-0.06;9.68%;0.1;1388.16;3.46 Mrd.;3458374912.0;4.46 Mrd.;4456000000.0;4;MIXED;8;OK;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Dividende vorhanden;Gewinnwachstum negativ | Verschuldung hoch;LOW RISK;NO;6;EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben | RSI erholt sich aus überverkaufter Zone | Mögliche Bodenbildung nahe 52W-Tief;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: EARLY SIGNAL;CONSUMER DEFENSIVE;Household & Personal Products;HOCH;NYQ;477632773.0;0.94;3.29;53.8;🟡 Durchschnittlich;0.63;-0.82;0.66;1;🔵 Leicht positiv;hohe institutionelle Beteiligung;0;0;;87.68;2.33;3.19;58.1;🔵 Solide
SPOT;Spotify Technology S.A.;USD;511.82 USD;511.82;490.17 USD;485.26 USD;490.18 USD;509.07 USD;4.42;5.47;4.85;5.24;6.68;20.36;2.29;58.55;738.53 USD;738.53;412.75;-30.7;24.0;2.26;1.581;NORMAL;1.05;5.11;0.0%;-;-;-;03.11.2026;475.56 USD;105240461312.0;Large Cap;28.53;27.86;1.79;13.9%;0.14;-;-;18.43%;0.18;5.56;1.54 Mrd.;1541374976.0;3.34 Mrd.;3336999936.0;6;SOLID;7;GOOD;KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat;-;LOW RISK;NO;6;EARLY SIGNAL;Leichte Vol.-Erhöhung in Seitwärtsphase | EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben | Bodenbildung: nahe 52W-Tief mit positiver Kursdrehung;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: EARLY SIGNAL, fundamental solide;COMMUNICATION;Internet Content & Information;HOCH;NYQ;1043565153.0;5.46;20.57;67.6;🔵 Überdurchschnittlich;1.22;4.29;14.75;0;⚪ Keine Daten;-;0;0;;68.8;4.15;3.89;57.8;🔵 Solide
ASML.AS;ASML HOLDING;EUR;1545.4 EUR;1545.4;1504.1 EUR;1494.84 EUR;1417.47 EUR;1305.85 EUR;2.75;3.38;2.09;4.94;-1.39;18.51;30.44;53.97;1719.33 EUR;1719.33;613.19;-10.12;152.03;3.59;1.365;LOW;0.18;-15.07;0.5%;7.78 EUR;27.07.2026;27.07.2026;14.10.2026;1464.94 EUR;593511317504.0;Mega Cap;30.05;60.76;2.08;21.3%;0.21;28.5%;0.28;30.11%;0.3;9.09;8.44 Mrd.;8437675008.0;11.49 Mrd.;11486900224.0;5;SOLID;8;GOOD;Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;KGV sehr hoch;LOW RISK;NO;5;EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben | RSI erholt sich aus überverkaufter Zone;7;STRONG BUY;über EMA20, über EMA50, über EMA200, Early: EARLY SIGNAL, fundamental solide;SEMICONDUCTOR;Semiconductor Equipment & Materials;HOCH;AMS;1121553960.0;7.46;21.93;77.5;🔵 Überdurchschnittlich;-8.85;-3.78;12.9;0;⚪ Keine Daten;-;0;0;;41.06;;;57.8;🔵 Solide
MMM;3M Company;USD;182.04 USD;182.04;174.46 USD;166.24 USD;161.14 USD;158.87 USD;4.34;9.5;-0.47;2.71;15.57;24.87;20.01;67.8;182.9 USD;182.9;140.47;-0.47;29.59;1.9;1.08;LOW;0.5;-9.72;1.71%;3.12 USD;22.05.2026;22.05.2026;20.10.2026;162.92 USD;93882105856.0;Large Cap;18.66;32.45;1.83;2.5%;0.03;32.8%;0.33;11.9%;0.12;437.94;6.35 Mrd.;6350125056.0;4.9 Mrd.;4898999808.0;6;SOLID;8;GOOD;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Dividende vorhanden;Verschuldung hoch;LOW RISK;NO;2;-;EMA50 dreht nach oben | Mögliche Bodenbildung nahe 52W-Tief;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, fundamental solide;INDUSTRIALS;Conglomerates;HOCH;NYQ;696090923.0;16.17;32.3;98.8;🟢 Top-Performer im Sektor;-0.6;13.18;19.26;0;⚪ Nicht geprüft;-;0;0;;;;;57.6;🔵 Solide
BHP;BHP Group Limited;USD;90.61 USD;90.61;85.79 USD;84.29 USD;81.37 USD;76.71 USD;5.62;7.5;0.22;8.51;10.93;7.45;34.43;63.32;93.15 USD;93.15;51.13;-2.73;77.2;2.29;0.842;NORMAL;0.84;1.41;2.94%;2.66 USD;06.03.2026;06.03.2026;17.08.2026;82.6 USD;230180667392.0;Mega Cap;18.59;22.54;5.95;10.8%;0.11;27.5%;0.28;18.97%;0.19;52.64;8.14 Mrd.;8137124864.0;19.75 Mrd.;19747000320.0;7;VERY SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;PEG Ratio hoch;LOW RISK;NO;3;MÖGLICHES SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: MÖGLICHES SIGNAL, fundamental solide;MATERIALS;Other Industrial Metals & Mining;HOCH;NYQ;244926804.0;6.19;19.37;87.9;🟢 Top-Performer im Sektor;4.74;8.54;1.84;0;⚪ Nicht geprüft;-;0;0;;;;;57.4;🔵 Solide
373220.KS;LG Energy Solution;KRW;354500.0 KRW;354500.0;339654.78 KRW;356094.92 KRW;375180.69 KRW;387542.03 KRW;4.37;-0.45;-3.54;7.91;8.74;-26.6;-13.22;53.83;514000.0 KRW;514000.0;300500.0;-31.03;17.97;4.25;1.002;NORMAL;0.91;3.19;0.0%;-;-;-;30.07.2026;348973.02 KRW;82952998354944.0;Mega Cap;45.22;-;7.45;-2.5%;-0.03;-;-;-6.82%;-0.07;82.5;-8243.46 Mrd.;-8243463585792.0;2953.96 Mrd.;2953961013248.0;1;WEAK;6;OK;Verschuldung moderat;Forward KGV sehr hoch | PEG Ratio hoch | Umsatzwachstum negativ | Negative Gewinnmarge | Free Cashflow negativ;LOW RISK;NO;7;STARKES EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | RSI erholt sich aus überverkaufter Zone | Bodenbildung: nahe 52W-Tief mit positiver Kursdrehung | Momentum-Divergenz: 1M dreht positiv nach langem Abschwung;4;PRE-BREAKOUT;über EMA20, 1M positiv, Early: STARKES EARLY SIGNAL, Fundamentaldaten schwach;INDUSTRIALS;Electrical Equipment & Parts;HOCH;KSC;161116705000.0;9.34;-19.17;80.7;🟢 Top-Performer im Sektor;-0.6;6.35;-32.21;0;⚪ Keine Daten;-;0;0;;12.9;;;57.2;🔵 Solide
LLY;Eli Lilly and Company;USD;1231.94 USD;1231.94;1176.15 USD;1145.21 USD;1096.65 USD;1048.91 USD;4.74;7.57;3.9;9.86;3.65;25.03;19.18;60.71;1235.56 USD;1235.56;630.76;-0.29;95.31;2.14;0.506;NORMAL;1.08;7.38;0.56%;6.92 USD;14.08.2026;15.05.2026;29.10.2026;1122.31 USD;1098098343936.0;Mega Cap;26.49;39.84;1.49;47.7%;0.48;26.2%;0.26;33.53%;0.34;162.07;11.07 Mrd.;11065900032.0;28.08 Mrd.;28082999296.0;5;SOLID;8;GOOD;PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Dividende vorhanden;-;LOW RISK;NO;4;MÖGLICHES SIGNAL;Leichte Vol.-Erhöhung in Seitwärtsphase | EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: MÖGLICHES SIGNAL, fundamental solide;PHARMA;Drug Manufacturers - General;HOCH;NYQ;3741282282.0;1.47;13.74;70.6;🔵 Überdurchschnittlich;2.18;1.26;19.42;1;🔵 Leicht positiv;hohe institutionelle Beteiligung;0;0;;85.44;1.15;3.34;57.2;🔵 Solide
CAMT;Camtek Ltd.;USD;158.1 USD;158.1;148.67 USD;155.23 USD;157.9 USD;153.15 USD;6.34;1.85;1.77;13.1;9.95;-21.94;7.9;54.99;207.46 USD;207.46;76.73;-23.79;106.05;5.01;1.586;HIGH;1.83;17.9;0.0%;-;03.04.2024;03.04.2024;10.08.2026;152.12 USD;7378238976.0;Mid Cap;33.09;161.33;3.2;2.5%;0.03;-10.0%;-0.1;9.63%;0.1;71.47;-;-;-;-;2;WEAK;7;OK;Umsatzwachstum positiv | Gewinnmarge positiv | Verschuldung moderat;KGV sehr hoch | PEG Ratio hoch | Gewinnwachstum negativ;MEDIUM RISK;NO;5;EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | RSI erholt sich aus überverkaufter Zone | Momentum-Divergenz: 1M dreht positiv nach langem Abschwung;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, hohes Volumen, Early: EARLY SIGNAL, Fundamentaldaten schwach;SEMICONDUCTOR;Semiconductor Equipment & Materials;HOCH;NGM;87671984.0;18.8;-18.52;91.5;🟢 Top-Performer im Sektor;-8.85;7.56;-27.55;0;⚪ Keine Daten;-;0;0;;52.14;8.66;4.74;57.0;🔵 Solide
WY;Weyerhaeuser Company;USD;25.29 USD;25.29;24.72 USD;24.35 USD;24.2 USD;24.1 USD;2.32;3.87;-1.13;0.24;7.85;6.1;-0.2;57.15;26.64 USD;26.64;20.79;-5.06;21.65;2.25;0.901;NORMAL;1.16;7.84;3.32%;0.84 USD;05.06.2026;05.06.2026;29.10.2026;23.86 USD;18227415040.0;Large Cap;37.58;38.91;1.86;-0.9%;-0.01;87.1%;0.87;6.89%;0.07;57.62;13.62 Mio.;13625000.0;547.0 Mio.;547000000.0;4;MIXED;8;OK;PEG Ratio attraktiv | Gewinnwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;Umsatzwachstum negativ;LOW RISK;NO;2;-;Leichte Vol.-Erhöhung in Seitwärtsphase | EMA50 dreht nach oben;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv;REAL ESTATE;REIT - Specialty;HOCH;NYQ;142234905.0;8.59;6.8;95.0;🟢 Top-Performer im Sektor;-0.74;5.46;0.49;0;⚪ Nicht geprüft;-;0;0;;;;;56.5;🔵 Solide
BLK;BlackRock, Inc.;USD;1131.4 USD;1131.4;1090.63 USD;1060.01 USD;1048.12 USD;1048.26 USD;3.74;6.74;-0.44;0.42;9.2;5.98;2.25;64.05;1183.47 USD;1183.47;917.73;-4.4;23.28;1.95;1.425;NORMAL;0.83;1.56;2.03%;22.92 USD;08.09.2026;05.06.2026;14.10.2026;1038.81 USD;183825563648.0;Large Cap;17.64;27.1;1.22;30.6%;0.31;19.6%;0.2;24.09%;0.24;23.19;7.58 Mrd.;7578124800.0;3.94 Mrd.;3937999872.0;8;VERY SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat | Dividende vorhanden;-;LOW RISK;NO;3;MÖGLICHES SIGNAL;EMA50 dreht nach oben | Bodenbildung: nahe 52W-Tief mit positiver Kursdrehung;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: MÖGLICHES SIGNAL, fundamental solide;FINANCIALS;Asset Management;HOCH;NYQ;885905434.0;7.3;-2.69;84.4;🟢 Top-Performer im Sektor;1.9;6.81;0.37;0;⚪ Nicht geprüft;-;0;0;;;;;56.3;🔵 Solide
VRTX;Vertex Pharmaceuticals Incorpor;USD;523.91 USD;523.91;486.44 USD;476.41 USD;466.4 USD;457.59 USD;7.7;9.97;5.61;11.3;7.94;22.51;11.49;70.19;529.59 USD;529.59;374.46;-1.07;39.91;2.12;0.305;HIGH;1.92;16.63;0.0%;-;-;-;02.11.2026;466.88 USD;132706394112.0;Large Cap;24.15;28.9;1.7;12.5%;0.12;8.0%;0.08;35.0%;0.35;9.77;2.63 Mrd.;2627887616.0;4.29 Mrd.;4292900096.0;8;VERY SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat;-;LOW RISK;NO;4;MÖGLICHES SIGNAL;Leichte Vol.-Erhöhung in Seitwärtsphase | EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, hohes Volumen, Early: MÖGLICHES SIGNAL, fundamental solide;BIOTECH;Biotechnology;HOCH;NMS;828942976.0;8.41;2.74;75.8;🔵 Überdurchschnittlich;-0.47;5.55;16.9;1;🔵 Leicht positiv;hohe institutionelle Beteiligung;0;0;;98.74;2.22;2.45;56.2;🔵 Solide
JBL;Jabil Inc.;USD;336.63 USD;336.63;327.66 USD;332.75 USD;323.39 USD;302.85 USD;2.74;1.17;-1.35;5.73;1.92;-9.57;42.0;53.47;385.63 USD;385.63;192.39;-12.71;74.98;3.53;1.304;LOW;0.58;-5.56;0.1%;0.32 USD;14.08.2026;15.05.2026;24.09.2026;326.09 USD;35274477568.0;Large Cap;20.1;42.18;0.82;11.8%;0.12;27.6%;0.28;2.57%;0.03;297.14;1.21 Mrd.;1211624960.0;1.86 Mrd.;1856999936.0;5;SOLID;8;GOOD;Forward KGV im gesunden Bereich | PEG Ratio attraktiv | Umsatzwachstum positiv | Gewinnwachstum positiv | Gewinnmarge positiv | Free Cashflow positiv | Dividende vorhanden;Verschuldung hoch;LOW RISK;NO;6;EARLY SIGNAL;EMA20-Squeeze / Kurs nähert sich von unten | EMA50 dreht nach oben | RSI erholt sich aus überverkaufter Zone | Momentum-Divergenz: 1M dreht positiv nach langem Abschwung;7;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, Early: EARLY SIGNAL, fundamental solide;TECHNOLOGY;Electronic Components;HOCH;NYQ;434821941.0;0.67;-12.15;54.9;🟡 Durchschnittlich;1.25;-0.47;-15.18;1;🔵 Leicht positiv;hohe institutionelle Beteiligung;0;0;;97.69;3.71;1.99;56.0;🔵 Solide
QRVO;Qorvo, Inc.;USD;97.0 USD;97.0;92.01 USD;91.46 USD;90.31 USD;88.94 USD;5.42;6.05;-2.1;8.39;13.03;9.06;24.18;61.26;108.23 USD;108.23;76.02;-10.38;27.59;2.32;1.449;NORMAL;1.0;3.65;0.0%;-;-;-;28.07.2026;89.63 USD;8556705792.0;Mid Cap;12.18;22.5;0.91;-4.2%;-0.04;255.6%;2.56;10.95%;0.11;44.62;476.14 Mio.;476142016.0;765.18 Mio.;765179008.0;7;VERY SOLID;8;GOOD;Forward KGV im gesunden Bereich | KGV nicht übertrieben | PEG Ratio attraktiv | Gewinnwachstum positiv | Solide Gewinnmarge | Free Cashflow positiv | Verschuldung moderat;Umsatzwachstum negativ;LOW RISK;NO;2;-;EMA50 dreht nach oben | Mögliche Bodenbildung nahe 52W-Tief;8;STRONG BUY;über EMA20, über EMA50, über EMA200, 1M positiv, fundamental solide;SEMICONDUCTOR;Semiconductors;HOCH;NMS;125204541.0;21.88;12.48;93.0;🟢 Top-Performer im Sektor;-8.85;10.64;3.45;0;⚪ Nicht geprüft;-;0;0;;;;;55.9;🔵 Solide
